,RR,NE,MT,MP,MG,MC
357,635155,458548,636214,549334,547773,413851
358,643262,455040,634246,584160,545639,416461
359,643778,455218,643104,611396,546180,412586
360,653489,435289,665918,611098,516470,412585
361,651283,442144,650767,425045,503754,414655
362,658612,444734,650984,325265,495989,425451
363,645839,445954,650546,479686,500480,423713
364,646042,440567,662258,628288,497932,428026
365,649125,439773,650339,707651,499435,411595
366,723164,448538,741120,596324,523300,467585
367,720711,445122,741120,648542,552872,453668
368,719221,448696,741120,437369,552467,460306
369,712264,441329,741120,396022,555565,466219
370,715380,443102,741120,556208,554397,462419
371,713666,450126,741120,697802,558820,459755
372,691842,421327,741120,595236,530568,436263
373,681632,413262,741120,603425,607331,440262
374,683497,417278,725823,411176,605565,432597
375,687300,414853,685365,306667,591417,432636
376,673219,420525,686340,477655,603382,431896
377,679257,414402,669334,615222,594704,433568
378,665880,415152,659878,741120,595719,418478
379,661850,410543,651852,567237,625950,412808
380,656160,414337,651238,584160,572366,416126
381,660012,413771,680928,554429,566793,408049
382,660572,415200,648100,641301,576596,403589
383,665677,412242,671607,440920,572470,413288
384,635068,392854,607667,334847,551013,404062
385,633451,397287,610328,509063,522064,394276
386,632690,401388,611487,637306,523147,392613
387,635906,398959,607988,626666,528799,404967
388,635418,397244,600221,500889,517097,395009
389,612553,392262,604404,571987,527998,386831
390,642600,408668,672497,566027,535015,413998
391,656400,403849,660033,567800,525980,413430
392,645928,409702,664482,592607,522565,414667
393,653620,410016,653973,597344,516199,407056
394,653532,408400,657462,588833,516683,409764
395,662215,412884,665673,433118,524733,406183
396,618454,475720,627148,315418,520523,396177
397,624684,474555,631867,455951,504972,406380
398,628351,472642,627557,592037,496028,392358
399,628893,474992,616658,659059,496213,403585
400,632019,474915,634259,496037,498621,399946
401,633005,477077,617390,588678,500291,399475
402,556826,471927,530500,465868,462645,357974
403,553798,482444,529681,518999,464658,366770
404,548783,469324,530871,584160,466358,371760
405,549611,476574,528517,519812,466213,370911
406,550088,475141,524162,444057,463001,371443
407,562625,479921,526851,584160,458943,366893
408,594393,455257,593306,595246,478429,386782
409,594556,464544,585500,549217,472427,377007
410,591379,459139,581146,526185,469929,390466
411,589709,458604,586494,382339,468799,390077
412,578497,458396,591268,437280,471212,383529
413,588107,456689,580884,464305,467433,386970
414,607358,452445,608784,584160,475148,402375
415,599266,461311,598855,626965,482045,400856
416,599816,459243,601361,471223,485901,391294
417,605846,458906,607365,477379,485349,388326
418,601233,453992,598276,584160,477651,387421
419,601962,455439,601532,622607,476904,397308
420,636854,460438,642840,553646,494768,401497
421,629187,468976,647564,449913,526133,418349
422,646889,475349,633420,584160,536013,412414
423,631812,468618,627256,665864,521827,405917
424,640444,470272,647997,344847,528807,414043
425,644239,472988,632667,300480,528787,422289
426,584382,434132,590927,437593,493290,382553
427,576567,436546,588145,584160,531746,395315
428,583086,438099,595257,729128,537479,397553
429,591119,431750,595256,576329,538944,405038
430,597245,437352,596748,456100,538362,395721
431,595403,436134,587403,577075,526292,398773
432,540323,356594,538754,608941,491296,366819
433,526350,353048,538249,599699,540019,369857
434,538988,351477,522591,486765,532881,380233
435,525541,351181,523678,495920,532201,374618
436,526000,349147,541338,584160,533710,384171
437,526734,354651,530557,629619,540808,369722
438,637748,396735,641362,492833,612740,411942
439,625971,396065,621575,507409,653814,412229
440,623853,396190,626180,646391,659177,414498
441,639992,392359,638553,596646,663070,417157
442,628214,394969,633490,535916,650897,413346
443,627220,393483,620838,584160,658073,415489
444,623227,428995,621249,517995,648381,402523
445,618071,427074,612010,417247,630425,408479
446,613977,431293,606338,437280,626666,411175
447,620633,427050,611694,444210,528785,417798
448,618067,424015,618207,590300,519663,411332
449,627924,420724,617119,652548,520963,413585
450,651521,443029,651318,533146,540260,430790
451,654220,441240,672300,584160,527215,427471
452,656057,447623,662465,530267,527100,434370
453,649915,445350,660747,544537,530914,446682
454,649143,443337,644877,407093,533806,424785
455,640381,441206,651410,437280,519171,432120
456,669266,473001,658362,446358,545856,438082
457,660068,465670,672347,584160,537350,440947
458,661005,464774,691218,694179,541116,438958
459,661635,466610,669249,514796,528594,447378
460,665945,465095,668398,524204,545086,450323
461,666674,475253,671721,584160,541815,443454
462,631682,439967,635292,491929,527187,430878
463,642091,439601,634000,447360,529251,434955
464,633919,439663,638484,584160,530726,424965
465,642710,443198,642131,619457,536777,433861
466,643486,438354,629125,554106,530413,428779
467,634076,433811,641076,488586,534428,432618
468,702761,467909,713532,663604,563037,478221
469,701224,466171,731434,624034,572268,480446
470,691066,470370,717529,536401,570307,480396
471,702641,477907,714050,443060,572223,472688
472,693937,468944,734610,417061,564091,464168
473,704453,475859,722130,531603,571638,471563
474,699773,445576,712271,642506,564693,477807
475,697100,444490,721352,668226,613019,465548
476,703581,450108,714200,345010,605310,461973
477,696809,445158,721580,352806,608701,470180
478,698314,444588,722222,511572,610850,460094
479,691463,443810,721249,642806,609955,468816
480,636037,427072,607809,613092,581906,426762
481,633928,428376,634658,523075,624386,423710
482,633464,424167,627998,497766,567040,428536
483,637460,426218,622033,432141,529745,431031
484,635827,430242,625237,437280,538028,429967
485,636039,433698,615216,443378,529981,423860
486,637245,436146,620824,599959,540532,423268
487,630731,441456,621935,664934,532744,437314
488,639051,439001,621892,500971,535167,431541
489,638047,435795,637021,563701,534732,435581
490,636192,441933,633594,584160,533543,424038
491,630082,438130,616829,525395,533198,425617
492,676138,450756,683611,575469,540073,444933
493,675924,446589,673662,434564,540180,454383
494,669497,448538,675527,417670,535441,442952
495,675185,455518,691251,472390,541002,450656
496,672132,453003,689979,618848,537852,459301
497,674901,450865,679423,728493,538498,448193
498,684788,470901,699418,581790,541091,448969
499,691311,471653,699120,584160,542393,457259
500,686366,473720,706406,534108,545322,454706
501,690616,476585,686583,489117,538756,456003
502,692526,470924,705724,396859,542769,465683
503,689849,477193,688508,491369,538940,458802
504,715218,476457,741120,694856,500962,473966
505,713071,469762,741120,724301,519215,476694
506,723849,478244,741120,485228,513900,478125
507,719406,473300,741120,375988,519521,478971
508,719320,479483,741120,552717,520509,482758
509,720376,482374,741120,684402,516716,472996
510,727189,463991,741120,679588,514985,479760
511,724887,465547,741120,407911,536515,477040
512,718746,462984,741120,359249,523332,470580
513,722289,464419,741120,539641,522641,486365
514,724451,464780,741120,671972,525987,478685
515,724641,467552,741120,683464,529550,476560
516,681335,450690,741120,385727,500004,438611
517,688125,440873,741120,300480,576204,440093
518,681866,440203,741120,450696,573314,440642
519,681098,446336,741120,591038,563464,439558
520,682477,447379,741120,741120,568809,450490
521,683010,449478,729623,635459,568414,445596
522,673450,442321,667694,551004,559108,431692
523,653879,438417,658242,372174,608958,433794
524,657106,440611,662508,438152,608233,422942
525,655631,443208,659422,509081,613272,433254
526,653964,442327,661187,645431,608147,433072
527,654973,439831,649711,634934,614073,426198
528,648825,423837,638711,584160,606823,424370
529,646316,430642,643031,572455,595127,427993
530,648178,423923,643750,516175,592765,440537
531,651165,419755,629904,584160,594284,437726
532,645848,424485,642965,462524,598484,430045
533,644488,423517,651059,371501,584949,419908
534,675192,446581,678395,516020,536721,444178
535,673229,444098,682378,643820,509875,469919
536,682912,445743,678831,681242,510285,457833
537,676515,449960,675629,496692,515934,451867
538,674328,446351,690422,584160,515587,452547
539,681209,443795,687939,597238,514101,456583
540,634978,491762,615633,396772,493467,441620
541,638477,490206,616465,327028,474525,442873
542,629175,484121,611160,455698,475860,435833
543,633964,490620,610834,601359,467927,431334
544,625089,486888,623544,648346,476507,439564
545,634410,484671,615424,533328,469417,430319
546,569933,455094,507391,437280,441376,390059
547,542666,460408,500388,437280,438410,390067
548,536335,457482,501212,584160,441879,392630
549,532704,455101,512411,584160,436305,393274
550,540170,456034,507341,503515,437315,388708
551,533699,461211,503945,438340,424447,388462
552,588709,452397,576973,585408,427823,411541
553,584318,449725,578391,658705,427755,422737
554,590873,456182,567371,438495,421237,419430
555,591927,453026,581120,456578,428202,425942
556,587769,446604,570013,592875,425728,418954
557,591692,450763,586869,697928,432678,424866
558,596490,459558,592424,428737,428893,429633
559,597889,460297,603712,437280,449044,439677
560,607295,456558,599742,584160,449176,440731
561,600474,460314,599469,672816,449749,433387
562,606954,465175,588922,341477,446959,426073
563,599349,456419,592222,300480,459556,432898
564,630482,465752,636263,466091,475619,458611
565,633690,469924,632429,600364,517151,451784
566,619411,474319,623143,741120,509543,452051
567,639302,463415,624540,479716,509803,447318
568,635270,468482,625764,480649,500556,451054
569,631474,465616,622750,599018,516832,450949
570,573882,408512,565528,657306,468628,414073
571,580189,415922,567933,446538,511166,419326
572,576913,411027,557233,459101,525215,415029
573,581104,418306,564624,584160,512673,418023
574,586103,421352,554664,647355,523181,427181
575,580552,416914,561163,494144,516447,427953
576,533737,357905,517437,584160,477369,397682
