,RR,NE,MT,MP,MG,MC
524,254646.423,214407.30000000002,254808.3,207989.451,243059.309,208667.945
525,254481.51899999997,214784.39399999997,254183.40600000002,223822.688,244256.49599999998,210119.222
526,254050.478,214900.48799999998,254618.42899999997,250198.313,243028.166,210554.945
527,254359.59600000002,214485.663,252711.53399999999,248230.125,244457.265,208981.857
528,253328.885,210920.91199999998,250671.283,237540.0,242748.24599999998,208568.392
529,252987.718,211954.94999999998,251432.064,235735.197,240336.873,209629.67799999999
530,253270.089,210992.163,251506.077,225152.813,239901.27000000002,211581.35400000002
531,253485.811,210133.487,249409.192,237540.0,240154.51799999998,211220.864
532,252793.202,211134.95,251425.0,213843.51,240954.77000000002,209732.662
533,252582.702,210541.62300000002,253154.896,195446.438,238669.46399999998,208009.925
534,257545.607,215269.789,257526.70399999997,225123.75,230177.688,212475.855
535,257410.02500000002,215064.17700000003,258211.44300000003,249896.25,224906.50999999998,217483.76599999997
536,259133.69,214998.532,257565.339,257222.668,224887.215,215103.774
537,257873.34999999998,216239.313,257249.20999999996,221499.75,226037.882,213639.63300000003
538,257491.599,215698.78900000002,259811.842,237540.0,225924.34,213859.968
539,258654.587,214800.8,259455.46,240545.626,225636.96600000001,214934.62399999998
540,251107.189,223329.63700000002,246862.767,200663.758,221695.63499999998,211783.774
541,251416.82799999998,223124.53399999999,246968.965,180971.679,217905.296,212250.196
542,250016.582,222326.517,246130.587,212203.932,218163.144,210630.00999999998
543,250876.73400000003,223344.03,246090.49200000003,241432.463,216635.816,210156.726
544,249297.07,222605.60199999998,248037.243,250744.875,218399.228,211513.40300000002
545,251005.882,222405.828,246833.203,228369.0,216942.171,209587.068
546,240083.623,216587.727,227816.742,207780.0,211498.362,202096.068
547,234877.397,217632.146,226739.53399999999,207780.0,210880.79200000002,201988.246
548,233714.01200000002,217325.64500000002,226832.614,237540.0,211528.174,202736.671
549,233126.08299999998,216856.582,228789.106,237540.0,210472.299,202663.289
550,234208.043,216625.354,227809.918,222779.063,210689.233,202060.918
551,233312.311,217799.298,227123.64,208034.608,209047.02099999998,201915.555
552,242913.471,216463.46999999997,239756.47,238014.488,210623.249,206166.764
553,242142.22600000002,216080.594,239808.13,252687.188,210228.476,208337.35
554,243209.341,217190.647,238533.847,208071.839,209241.512,207658.209
555,243322.718,216540.438,241182.855,212415.304,210487.619,208724.891
556,242695.232,215174.048,238779.23600000003,239671.647,209915.694,207483.873
557,243298.298,215832.005,241921.66199999998,260205.218,211306.542,208645.98799999998
558,244029.644,217921.993,242808.572,206288.11299999998,210590.592,209410.86
559,244533.209,217696.016,244917.19799999997,207780.0,214439.12,211640.774
560,246032.387,217402.15499999997,244051.25600000002,237540.0,214443.18099999998,211516.671
561,244922.215,218086.723,243980.37600000002,255333.0,214530.213,210140.489
562,245993.896,218501.497,242021.589,192622.69299999997,213810.961,208978.17
563,244776.52800000002,217313.685,242786.106,174420.0,216104.794,210099.421
564,249978.82,218975.353,250441.471,214700.29,218791.415,214795.771
565,250582.60000000003,219675.989,249864.22999999998,241318.973,227045.813,213625.269
566,247595.703,220480.198,247996.18099999998,267600.0,225838.232,213794.609
567,251582.284,218811.288,248131.93999999997,217875.01,225887.592,212974.669
568,250756.73200000002,219254.09399999998,248423.814,218197.064,224271.74,213747.753
569,250256.126,218874.536,247954.366,240885.835,226986.001,213759.64500000002
570,240315.70200000002,208336.363,238359.14599999998,252424.875,219122.451,206551.485
571,241400.476,209774.78499999997,238583.21500000003,210003.736,226859.214,207659.35100000002
572,240640.023,209018.194,236630.88199999998,213021.319,229547.387,206774.473
573,241658.657,210182.71600000001,238264.173,237540.0,227037.95799999998,207373.387
574,242332.581,210736.45500000002,236082.21500000003,250559.063,229046.63199999998,208941.445
575,241520.822,209791.566,237787.78699999998,221022.0,227995.427,209335.981
576,233318.876,198931.09399999998,229856.046,237540.0,221428.11899999998,203435.37
577,233513.755,199255.33500000002,227148.674,228776.063,227141.86299999998,202854.049
578,233781.52399999998,198435.862,229329.251,211484.785,227227.279,204536.40999999997
579,233941.365,198652.05299999999,229783.21999999997,228081.938,227444.36099999998,202563.146
580,234093.215,198663.184,229796.88799999998,239077.315,228285.96099999998,204794.906
581,233319.27399999998,198657.154,227740.63799999998,238743.465,226161.848,202643.45299999998
582,246185.046,207990.35700000002,243757.765,222279.375,233778.005,210301.642
583,245332.35499999998,208634.436,245526.231,231626.858,246643.987,209149.32799999998
584,245936.06399999998,208628.99,242704.08199999997,225893.625,245817.944,210121.405
585,245800.586,208593.58500000002,242602.494,237540.0,245690.869,209371.895
586,244911.98599999998,207970.315,243309.75699999998,230388.544,246546.349,208634.245
587,246317.02699999997,208618.052,241998.80399999997,200428.994,245734.492,209684.537
588,245055.795,213011.245,239928.113,207780.0,245393.80899999998,209808.912
589,246397.849,213291.82,242627.62699999998,207780.0,250661.051,211550.36899999998
590,246773.15099999998,213433.364,242031.809,237540.0,248676.446,207580.984
591,243583.55899999998,214873.50699999998,241794.673,240400.233,223864.60499999998,210379.674
592,244695.765,213067.83500000002,241456.037,234623.965,224389.085,210715.90099999998
593,243061.23599999998,213683.389,243394.96,233174.141,223810.641,207936.439
594,248091.952,216494.65000000002,250601.11700000003,213347.74599999998,226773.234,211981.848
595,250138.838,215895.07799999998,250294.65600000002,227839.875,225614.98500000002,213644.143
596,250668.065,214328.682,249065.88700000002,240348.049,225355.725,213282.06800000003
597,248366.59600000002,215821.67500000002,248354.619,251553.75,224496.989,214522.93200000003
598,251171.921,216037.615,249485.92499999996,181092.22199999998,223485.29899999997,211895.08299999998
599,251420.69,215917.08000000002,249087.998,174420.0,225755.099,213928.721
600,254701.92700000003,218110.06399999998,254982.186,215940.902,227295.214,215593.99000000002
601,254644.71000000002,216967.322,254035.613,240837.971,226233.86800000002,216504.62999999998
602,254774.241,218104.43,255827.814,267600.0,226518.365,218605.97
603,257312.27900000004,218958.209,255964.736,236314.915,225683.646,218727.355
604,257265.643,217470.108,257621.382,224596.313,226803.33599999998,216694.693
605,254770.94700000001,217934.063,254773.89299999998,221472.188,225745.603,217422.07499999998
606,255152.193,213819.809,258105.201,221565.375,226531.475,217666.325
607,255416.45500000002,214697.935,257312.302,202242.0,227455.697,219193.85700000002
608,256209.81600000002,215331.446,257357.31699999998,220745.625,225154.853,216713.50400000002
609,254735.722,213489.472,256923.55599999998,246343.125,226037.103,216847.054
610,254693.235,214625.04499999998,254785.04799999995,262398.262,226752.665,217966.912
611,255373.688,213723.268,254878.162,230004.563,226535.564,218363.03100000002
612,260085.002,216544.02300000002,260830.017,244830.101,228171.877,219836.13999999998
613,260160.03900000002,215214.63,259449.073,207385.969,236232.109,218079.88100000002
614,260162.47,215661.816,260588.554,189090.707,235211.98400000003,220206.586
615,259312.867,217349.911,263260.222,224261.25,235362.91700000002,221041.572
616,258236.501,215644.93699999998,260105.88,252439.875,235123.517,218915.33099999998
617,258953.47400000002,217372.685,261566.599,250880.625,234307.576,219593.903
618,257554.487,211194.27500000002,259831.62,226428.563,235870.038,219610.098
619,257309.23599999998,211656.503,259457.141,201492.938,241110.057,218806.049
620,259451.225,211041.725,259460.467,206864.438,242574.00499999998,219651.967
621,257350.397,210119.80599999998,257945.33499999996,226740.563,241311.25900000002,220472.714
622,259399.75100000002,211323.153,260118.215,250634.438,241377.609,219890.76200000002
623,256617.664,211706.256,259029.188,251226.563,241927.43,216791.72699999998
624,253291.14500000002,209389.03699999998,250429.462,207780.0,238325.978,213628.891
625,252515.716,209446.83299999998,253100.325,219822.375,240820.98,216729.093
626,252203.684,208985.28100000002,249362.25299999997,241990.443,237117.427,217044.673
627,250696.973,210115.802,250946.288,263834.284,223454.151,216198.52899999998
628,252078.206,209818.56100000002,249624.558,186722.8,223554.807,216066.304
629,250390.783,208023.892,249532.24899999998,174995.27000000002,225007.223,216254.17500000002
630,251363.37099999998,213744.383,251166.424,214199.0,222501.435,215354.954
631,250357.112,214171.64,250026.21399999998,240323.62900000002,221173.56699999998,215825.282
632,250702.18399999998,213186.853,251599.536,267600.0,220559.647,215981.95500000002
633,250335.475,213371.821,250801.489,231570.64,220009.58000000002,217086.408
634,249811.092,212545.51,249641.027,237540.0,221110.362,215609.787
635,249411.983,213723.624,250571.918,226167.938,220848.215,216359.70099999997
636,254156.386,215512.725,254155.26,236787.96600000001,221382.011,220492.28199999998
637,255133.172,216277.195,254830.55999999997,237540.0,219906.775,217597.8
638,251522.645,216637.255,256400.58599999998,201639.463,220290.71600000001,216574.41700000002
639,254830.87999999998,216946.197,255701.448,196955.625,221067.001,220515.489
640,256988.269,217130.921,255670.97699999998,218586.422,210756.098,218922.224
641,254056.18600000002,215982.62099999998,254126.79200000002,241972.291,209917.092,218743.363
642,258711.76600000003,219134.35400000002,258196.29200000002,267600.0,210173.582,218638.256
643,257458.802,219720.713,259386.886,229076.175,211475.081,219878.49099999998
644,257557.522,219822.639,257312.345,238471.739,211367.543,219985.923
645,258054.551,219499.882,257304.90300000002,215210.671,210982.622,218723.38999999998
646,258172.74800000002,218269.794,257391.717,177352.554,211626.386,220788.938
647,258085.34600000002,218481.75799999997,259623.164,237540.0,210710.351,219519.69700000001
